location,area,price,price_currency,status,new/resale,price_negotiable,description,security_deposit,facing,furnished,age of property,Lift(s),Full Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens,locality_score,project_score,builder_experience,Rain Water Harvesting,Intercom,Car Parking,Vaastu Compliant,Indoor Games,Multipurpose Room,Staff Quarter,Cafeteria,School,Maintenance Staff,Shopping Mall,Golf Course,ATM,Hospital
Baner,3200,36000000,INR,,1,0,,1,east,0,122,1,1,0,1,1,1,1,1,0,0,9.1,,,,1.0,,,,,,,,,,,,
Wadgaon Sheri,1645,12400000,INR,,0,0,"Well designed 3 bhk builder floor is available at a prime location in Wadgaon Sheri. It has a built-up area of 1645 sqft and is priced at Rs. 1.24 cr . The house is semi-furnished. It is west facing property. It is a 5 year old ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Contact us for more details. ",1,west,0,5,1,1,0,1,1,1,1,1,0,0,,,,,1.0,,,,,,,,,,,,
NIBM Annex Mohammadwadi,4800,30000000,INR,,0,0,"A spacious 4 bhk builder floor is available for sale in NIBM Annex Mohammadwadi, Pune. It has a salable area of 4800 sqft and is available at a price of Rs. 6,250 per sqft. It has club house as well as power backup. The project also has lift available. Its main door is facing east direction. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. The society is well connected by different modes of transportation. If you are interested, please contact us for more details. ",1,east,0,0,1,1,0,1,1,1,1,1,0,0,,,,,1.0,,,,,,,,,,,,
Ambegaon Budruk,600,1900000,INR,,1,0,Well designed 1 bhk builder floor is available at a prime location in Ambegaon Budruk. It has a built-up area of 600 sqft and is priced at Rs. 19.00 lac . It is an unfurnished property. This residential property is ready-to-move-in. The society is well connected by different modes of transportation. Kindly call us for details. ,1,east,0,0,1,1,0,0,0,0,0,1,0,0,8.1,,,,,,,,,,,,,,,,
Viman Nagar,1200,8300000,INR,,1,0,"A spacious 2 bhk builder floor is available for sale in Shree Rahde Constructions Camelot Housing Society, Viman Nagar, Pune. It has an area of 1200 sqft with a carpet area of 1080 sqft . The property is available at a price of Rs. 83.00 lac . The house is unfurnished. It is facing north direction. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Contact us for more details. ",1,north,0,8,1,1,1,1,1,1,1,1,0,0,9.2,7.2,123.0,1.0,1.0,1.0,,,,,,,,,,,
Kharadi,3712,33363112,INR,0,1,0,"It’s a 5 bhk builder floor situated in Goel Ganga Developments Platinum B, Kharadi. It has a salable area of 3712 sqft and is available at a price of Rs. 8,987 per sqft. It is east facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. If you are interested, please contact us for more details. ",1,east,0,0,1,1,0,1,1,1,1,1,1,0,8.9,,39.0,,1.0,1.0,,,,,,,,,,,
Punawale,810,5600000,INR,,1,0,"Well designed 2 bhk builder floor is available at a prime location in Aishwaryam Group Insignia. It has an area of 810 sqft with a carpet area of 671 sqft . The property is available at a price of Rs. 56.00 lac . It is an unfurnished property. It is west facing property. It is an under-construction property and is expected to get completed by 01/12/2026. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Kindly call us for details. ",1,west,0,0,1,1,0,1,1,1,1,1,1,0,,,123.0,1.0,1.0,1.0,,1.0,,,1.0,,,,,,
Bavdhan,4200,17500000,INR,,1,0,"A 3 bhk property is available for sale in Pinnacle Group Brookside, Bavdhan, Pune. It has a salable area of 4200 sqft and is available at a price of Rs. 4,166 per sqft. The house is semi-furnished. It has swimming pool as well as cctv. The project also has children's play area, club house, power backup, gated community, gymnasium and lift available. It is east facing property. It is a ready-to-move-in property. It is made in way to provide a comfortable living. The site is in close proximity to various civic utilities. Contact us for more details. ",1,east,0,1,1,1,1,1,1,1,1,1,1,0,8.1,7.6,26.0,,1.0,1.0,,1.0,1.0,,,,1.0,,,,
Wakad,1067,5345000,INR,,0,0,"It’s a 2 bhk builder floor situated in Omega Promoters Paradise, Wakad, Pune. It has an area of 1067 sqft with a carpet area of 790 sqft . The property is available at a price of Rs. 53.45 lac . It is an unfurnished property. It has lift available. Other amenities include club house, gymnasium, gated community, swimming pool, power backup, children's play area and cctv. It is facing west direction. It is a 13 year old ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. ",1,west,0,12,1,1,1,1,1,1,1,1,1,0,9.4,8.1,19.0,1.0,1.0,1.0,,1.0,,,,,,,,,
Kothrud,2500,38500000,INR,1,0,0,"It’s a 5 bhk builder floor situated in Kumar Properties Karishma, Kothrud. It has a built-up area of 2500 sqft and is priced at Rs. 3.85 cr . It is a furnished property. It has 1 tv, 1 refrigerator, 1 sofa and 1 sofa. It also has 1 washing machine, 1 microwave, 1 dining table, 1 gas connection, 1 ac and 1 bed. This residential property is ready-to-move-in. Contact us for more details. ",1,east,1,7,1,1,1,1,1,1,1,1,1,0,9.2,8.5,56.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,,
